gvkey,datadate,fyearq,tic,actq,ancq,aoq,atq,aul3q,ceiexbillq,ceqq,cheq,chq,cogsq,cshiq,cshoq,dpq,drcq,drltq,lctq,ltq,rdipq,revtq,stkcpay,teqq,tfvaq,tfvlq,xrdq,xsgaq
3382,20180930,2018,SSTK,280.59,232.63,151.447,513.22,,,268.598,206.409,206.409,54.754,37.573,35.015,11.707,141.412,0,226.649,244.622,0,151.575,13.898,268.598,,,14.032,78.415
3382,20181231,2018,SSTK,306.721,224.767,148.579,531.488,0,,286.667,233.352,230.852,57.111,37.618,35.06,11.718,139.604,0,223.303,244.821,0,162.072,18.435,286.667,0,0,11.689,77.604
11745,20130331,2013,QLYS,116.006,56.717,36.93,172.723,0,,92.743,92.646,47.105,3.676,31.649,31.649,2.119,58.356,7.847,69.988,79.98,0,24.883,0.949,92.743,97.393,0,5.297,19.361
11745,20130630,2013,QLYS,134.188,46.111,23.585,180.299,0,,96.235,106.377,68.619,3.55,31.988,31.988,2.374,58.835,8.823,73.805,84.064,0,26.291,2.187,96.235,77.142,0,5.291,19.504
11745,20130930,2013,QLYS,131.004,50.671,28.178,181.675,0,,100.495,100.866,42.118,3.858,32.238,32.238,2.557,61.389,8.456,71.507,81.18,0,27.749,3.808,100.495,95.151,0,5.151,19.839
11745,20131231,2013,QLYS,130.456,62.147,39.072,192.603,0,,103.117,97.196,42.369,3.964,32.375,32.375,2.562,67.505,8.889,79.277,89.486,0,29.039,,103.117,105.133,0,5.939,22.289
11745,20140331,2014,QLYS,131.884,66.953,42.784,198.837,0,,106.127,105.608,48.296,4.041,32.634,32.634,2.805,71.41,8.908,82.41,92.71,0,30.356,2.126,106.127,113.835,0,6.404,23.771
11745,20140630,2014,QLYS,142.909,61.663,37.651,204.572,0,,112.121,109.345,41.672,4.198,32.975,32.975,2.977,71.853,8.781,82.247,92.451,0,32.302,4.606,112.121,112.987,0,6.411,23.337
11745,20140930,2014,QLYS,149.597,65.814,41.038,215.411,0,,119.693,113.418,88.285,4.377,33.263,33.263,3.044,74.337,8.965,85.336,95.718,0,34.348,7.1,119.693,87.028,0,6.49,23.42
11745,20141231,2014,QLYS,175.259,84.765,58.147,260.024,0,,151.827,127.218,76.504,4.45,33.594,33.594,3.071,81.147,10.064,97.161,108.197,0,36.573,10.549,151.827,91.462,0,7.015,24.841
11745,20150331,2015,QLYS,195.849,78.059,49.78,273.908,0,,162.274,142.95,78.018,4.782,33.935,33.935,3.182,87.929,10.064,100.528,111.634,0,37.493,2.543,162.274,99.022,0,7.15,24.609
11745,20150630,2015,QLYS,205.513,76.532,47.294,282.045,0,,172.168,158.11,84.058,4.753,34.079,34.079,3.404,87.411,9.711,99.051,109.877,0,39.877,5.473,172.168,124.78,0,7.205,26.408
11745,20150930,2015,QLYS,225.321,72.967,43.002,298.288,0,,181.898,174.145,94.763,4.924,34.167,34.167,3.838,91.939,9.884,105.352,116.39,0,42.469,8.439,181.898,147.358,0,7.564,26.829
11745,20151231,2015,QLYS,229.236,94.278,62.949,323.514,0,,195.566,178.966,91.698,5.066,34.415,34.415,3.936,98.025,14.564,112.179,127.948,0,44.445,10.856,195.566,156.891,0,7.532,27.747
